#pt range     nev_EB     purity_EB     nev_EE   purity_EE  
40 - 47       10049     0.537692    7493     0.482373
47 - 65       8650     0.609252    6809     0.53029
65 - 73       10065     0.68732    7816     0.599074
73 - 90       10519     0.722462    7903     0.62257
90 - 94       7804     0.77055    5742     0.644351
94 - 99       7980     0.781102    5840     0.659457
99 - 105       7264     0.775353    5467     0.669439
105 - 110       9880     0.807103    7007     0.673657
110 - 117       11063     0.802628    7643     0.669233
117 - 126       10013     0.80763    7020     0.703985
126 - 139       9598     0.838173    6638     0.715942
139 - 165       10048     0.85468    6730     0.734789
165 - 180       143269     0.88641    87015     0.754937
168 - 183       142754     0.887471    85512     0.762117
171 - 186       142326     0.891469    83992     0.772523
174 - 189       142034     0.891925    83152     0.777634
177 - 192       141571     0.893162    82367     0.782235
180 - 195       142006     0.891532    81391     0.778946
183 - 198       131108     0.893242    74425     0.778134
186 - 201       121277     0.892391    68299     0.781862
189 - 204       112353     0.890639    62513     0.781519
192 - 207       104123     0.889449    57231     0.78543
195 - 210       96383     0.891187    52473     0.788116
198 - 215       98736     0.897176    53405     0.79372
201 - 220       100623     0.89615    53453     0.802743
204 - 225       101142     0.90184    52976     0.807959
207 - 230       101092     0.904451    52183     0.808227
210 - 235       100590     0.904969    51185     0.81431
215 - 240       89837     0.904437    44481     0.815562
220 - 245       79931     0.907952    39013     0.808879
225 - 250       71754     0.911039    34217     0.810388
230 - 255       64378     0.91298    29979     0.81899
235 - 260       57564     0.914504    26313     0.822628
240 - 265       51900     0.917166    23127     0.830184
245 - 270       47075     0.921081    20343     0.840024
250 - 290       59124     0.919066    24590     0.841779
255 - 310       65222     0.92095    25996     0.843819
260 - 350       75822     0.923179    28298     0.847041
265 - 1000       91923     0.924952    30094     0.851416
